order_id,order_date,customer_name,customer_segment,region,sales_rep,product_category,units,unit_price,discount_pct,order_amount,payment_terms,status,delivery_days
MER-100949,2026-08-28,Customer 3658,SMB,South,Vikram Shah,Pneumatics,2,6030.15,5,11457.28,Net 30,Delivered,4
MER-102397,2026-07-13,Customer 4736,Mid-Market,South,Sneha Kulkarni,Safety Equipment,2,1532.13,0,3064.26,Net 60,delivered,3
MER-103368,2026-08-10,Customer 1627,Mid-Market,South,Anita Rao,Power Tools,10,8293.09,5,104191.37,Net 30,DELIVERED,21
MER-103605,2026-07-09,Customer 4879,SMB,East,Meera Iyer,Fasteners,3,335.62,0,1006.86,Prepaid,Delivered,15
MER-103559,2026-08-09,Customer 2685,Mid-Market,West,Meera Iyer,Fasteners,10,307.36,5,2919.92,Prepaid,Delivered,19
MER-103678,2026-08-02,Customer 3175,Mid-Market,East,Rahul Nair,Hand Tools,2,1006.24,5,1911.86,Prepaid,Pending,
MER-103875,2026-07-25,Customer 1878,Mid-Market,North,Rahul Nair,Safety Equipment,10,1751.00,8,16109.20,Net 30,Delivered,20
MER-100696,2026-08-07,Customer 3551,SMB, North,Rahul Nair,Safety Equipment,5,1875.22,0,9376.10,Net 30,Delivered,14
MER-102446,2026-07-25,Customer 1778,Mid-Market,North,Anita Rao,Bearings & Drives,2,4626.00,10,8326.80,Net 30,Cancelled,
MER-103444,2026-09-06,Customer 4333,Mid-Market,North,Karan Bhatia,Pneumatics,5,4801.30,5,22806.17,Prepaid,Delivered,14
MER-101230,2026-08-05,Customer 1349,Mid-Market,East,Anita Rao,Pneumatics,5,5913.59,0,40177.87,Prepaid,DELIVERED,9
MER-102465,2026-07-25,Customer 2612,Mid-Market,East,Karan Bhatia,Bearings & Drives,5,4484.15,0,22420.75,Net 30,DELIVERED,9
MER-101795,2026-09-06,Customer 3967,SMB,South,Arjun Desai,Bearings & Drives,1,3850.23,5,3657.72,Net 60,Delivered,6
MER-101010,2026-07-01,Customer 2251,Enterprise,West,Karan Bhatia,Pneumatics,100,4621.01,5,438995.95,Net 30,RETURNED,14
MER-100606,2026-09-02,Customer 1861,Mid-Market,West,Arjun Desai,Bearings & Drives,5,3652.02,0,18260.10,Net 30,Delivered,5
MER-101328,2026-09-23,Customer 2318,Enterprise,West,Karan Bhatia,Safety Equipment,25,2100.68,5,49891.15,Net 30,Delivered,2
MER-102820,2026-08-10,Customer 3792,Mid-Market,South,Meera Iyer,Pneumatics,10,5891.90,0,58919.00,Prepaid,Delivered,19
MER-103525,2026-08-14,Customer 1390,SMB,East,Vikram Shah,Power Tools,3,7944.65,5,22642.25,Prepaid,Returned,10
MER-103576,2026-08-18,Customer 4057,SMB,West,Anita Rao,Safety Equipment,1,1580.48,0,2406.64,Prepaid,delivered,14
MER-100105,2026-08-28,Customer 1740,SMB,West,Anita Rao,Pneumatics,3,6282.05,0,18846.15,Net 30,delivered,7
MER-103412,2026-08-29,Customer 3026,SMB,South,Sneha Kulkarni,Fasteners,1,355.15,5,337.39,Net 30,Delivered,5
MER-101764,2026-07-06,Customer 2166,Enterprise,East,Arjun Desai,Lubricants,25,1587.80,10,35725.50,Net 30,Delivered,3
MER-102648,2026-09-26,Customer 3749,Mid-Market,South ,Vikram Shah,Lubricants,10,1564.12,0,15641.20,Net 30,Delivered,10
MER-103073,2026-09-17,Customer 1426,Mid-Market,East,Anita Rao,Safety Equipment,5,1655.47,0,8277.35,Net 30,Delivered,21
